id_camara,id_senado,apelido,tema
257161,NA,Lei do Licenciamento Ambiental,Meio Ambiente
NA,132865,Lei Geral de Licenciamento Ambiental,Meio Ambiente
2088990,91341,Lei da Qualidade Fiscal,Agenda Governo
46249,41703,PL do Veneno,Meio Ambiente
2121442,127753,Lei do Teto Remuneratório,Agenda Governo
345311,NA,Estatuto do Índio,Meio Ambiente
2085536,NA,Lei para Acabar Zona de Amortecimento,Meio Ambiente
2120775,NA,Política Governo de Redução de Agrotóxico,Meio Ambiente
2122766,115926,Modernização da Lei de Licitações e Contratos,Agenda Governo
NA,126364,Alteração na Lei Antiterrorismo,Agenda Governo
606722,NA,Escola Sem Partido,Agenda Governo
541857,NA,Revogação do Estatuto do Desarmamento,Agenda Governo
2119881,NA,Reforma da Previdência Temer,Agenda Governo
2158425,133943,Revisão do contrato da cessão onerosa da Petrobras,Agenda Governo
2056568,NA,Indenização Propriedades Privadas em Unidades de Conservação,Meio Ambiente
1738598,NA,Criação da Área de Proteção Ambiental de Canavieiras,Meio Ambiente
14562,NA,Demarcações passam a ser competência exclusiva do Congresso,Meio Ambiente
2170839,NA,Lei do Pantanal - Molon,Meio Ambiente
944279,NA,Lei do Cerrado,Meio Ambiente
NA,102721,Cana na Amazônia,Meio Ambiente
NA,103831,Lei do Pantanal - Maggi,Meio Ambiente
2120019,111048,Lei das Agências Reguladoras,Agenda Governo
51066,NA,Deixa de incluir FUNDEF no limite de gastos com pessoal,Educação
518221,NA,Piso salarial do magistério público da educação básica - Moura,Educação
532814,NA,Piso salarial do magistério público da educação básica - Marchezan,Educação
NA,120143,Educação básica em tempo integral,Educação
500183,NA,Autoriza trabalho a partir dos quatorze anos,Direitos Humanos
NA,106330,Redução da maioridade penal,Direitos Humanos
546383,NA,Trabalho infantil artístico,Direitos Humanos
NA,120768,Trabalho infantil artístico e despostivo,Direitos Humanos
1594911,121572,Aumento do tempo de internação,Direitos Humanos
604888,96813,Assinatura eletrônica em Leis de Iniciativa Popular,Integridade e Transparência
2192459,NA,Reforma da Previdência Bolsonaro,Agenda Governo
NA,135064,Monitoramento e Acompanhamento de ONGs,Agenda Governo
2192352,NA,Pacote Moro Caixa 2,Agenda Governo
2192353,NA,Pacote Moro Crime Organizado (Apensado),Agenda Governo
2192354,NA,Pacote Moro Anticorrupção,Agenda Governo
NA,131906,Mercado da água,Meio Ambiente
NA,120152,PEC Antiaborto,Direitos Humanos
NA,135061,Altera o marco legal do saneamento básico,Agenda Governo;Meio Ambiente
353631,NA,Disciplina a atividade de lobby,Integridade e Transparência
2178170,NA,Pacote Moro Crime Organizado (Principal),Agenda Governo
NA,135060,Programa de Regularização Ambiental,Agenda Governo;Meio Ambiente
604557,NA,PNCMar,Meio Ambiente
NA,136033, Pacote Moro - Crime Organizado,Agenda Governo
2193540,136173,Anistia Tributária para Partidos,Integridade e Transparência
16526,NA,PL das Compras Públicas (Nova Lei de Licitações),Integridade e Transparência
522447,NA,Situação Jurídica do Estrangeiro no Brasil,Direitos Humanos
NA,129778,Tornar o FUNDEB permanente (Senado),Educação
1198512,NA,Tornar o FUNDEB permanente (Câmara),Educação
