label,start,end,time_interval,group
ATA-PLEN,2009-05-28,2009-05-29,1,Local
CCJ,2009-05-29,2009-09-11,105,Local
SSCLSF,2009-09-11,2009-09-15,4,Local
ATA-PLEN,2009-09-15,2009-09-22,7,Local
ATA-PLEN,2009-09-22,2009-09-23,1,Local
CCJ,2009-09-23,2009-12-03,71,Local
CAE,2009-12-03,2010-03-15,102,Local
SSCLSF,2010-03-15,2010-03-23,8,Local
SSCLSF,2010-03-23,2010-05-18,56,Local
ATA-PLEN,2010-05-18,2010-05-19,1,Local
ATA-PLEN,2010-05-19,2010-05-20,1,Local
CCJ,2010-05-20,2010-06-24,35,Local
CAE,2010-06-24,2011-01-20,210,Local
CAE,2011-01-20,2013-03-07,777,Local
SSCLSF,2013-03-07,2013-03-19,12,Local
ATA-PLEN,2013-03-19,2013-04-01,13,Local
SSCLSF,2013-04-01,2013-04-17,16,Local
ATA-PLEN,2013-04-17,2013-05-07,20,Local
ATA-PLEN,2013-05-07,2013-05-13,6,Local
SSCLSF,2013-05-13,2013-05-22,9,Local
ATA-PLEN,2013-05-22,2013-05-27,5,Local
CDR,2013-05-27,2013-06-20,24,Local
SSCLSF,2013-06-20,2013-06-25,5,Local
ATA-PLEN,2013-06-25,2013-06-27,2,Local
SSCLSF,2013-06-27,2013-08-07,41,Local
CDR,2013-08-07,2013-10-21,75,Local
SSCLSF,2013-10-21,2013-10-22,1,Local
ATA-PLEN,2013-10-22,2013-10-30,8,Local
SSCLSF,2013-10-30,2014-02-17,110,Local
ATA-PLEN,2014-02-17,2014-02-18,1,Local
ATA-PLEN,2014-02-18,2014-02-21,3,Local
SSCLSF,2014-02-21,2014-03-17,24,Local
SGM,2014-03-17,2014-03-18,1,Local
SSCLSF,2014-03-18,2014-08-01,136,Local
ATA-PLEN,2014-08-01,2014-10-02,62,Local
SSCLSF,2014-10-02,2014-11-25,54,Local
SSCLSF,2014-11-25,2015-03-19,114,Local
ATA-PLEN,2015-03-19,2015-03-20,1,Local
SSCLSF,2015-03-20,2015-03-25,5,Local
ATA-PLEN,2015-03-25,2015-03-26,1,Local
SSCLSF,2015-03-26,2015-04-28,33,Local
CAE,2015-04-28,2015-07-09,72,Local
CAE,2015-07-09,2016-05-18,314,Local
PLEN,2016-05-18,2016-05-19,1,Local
SLSF,2016-05-19,2016-05-30,11,Local
SLSF,2016-05-30,2016-06-07,8,Local
PLEN,2016-06-07,2016-06-16,9,Local
iniciativa,2009-05-28,2009-07-15,48,Fase
relatoria,2009-07-15,2009-11-13,121,Fase
discussao_deliberacao,2009-11-13,2009-12-03,20,Fase
relatoria,2009-12-03,2010-03-02,89,Fase
discussao_deliberacao,2010-03-02,2010-05-24,83,Fase
relatoria,2010-05-24,2010-06-15,22,Fase
discussao_deliberacao,2010-06-15,2010-07-08,23,Fase
relatoria,2010-07-08,2010-12-21,166,Fase
discussao_deliberacao,2010-12-21,2011-03-04,73,Fase
relatoria,2011-03-04,2012-06-18,472,Fase
discussao_deliberacao,2012-06-18,2013-06-13,360,Fase
relatoria,2013-06-13,2015-07-02,749,Fase
discussao_deliberacao,2015-07-02,2016-06-21,355,Fase
agendado_requerimento_para_a_ordem_do_dia,2013-06-27,2013-06-27,0,Evento
aguardando_decisão_da_mesa,2009-09-15,2009-09-15,0,Evento
aguardando_designação_do_relator,2009-05-29,2009-05-29,0,Evento
aguardando_inclusão_ordem_do_dia_de_requerimento,2010-03-23,2010-03-23,0,Evento
aguardando_leitura_de_requerimento,2013-03-07,2013-03-07,0,Evento
aguardando_leitura_parecer_(es),2016-05-18,2016-05-18,0,Evento
aguardando_recebimento_de_emendas_perante_a_mesa,2016-05-19,2016-05-19,0,Evento
aprovacao_audiencia_publica,2010-03-02,2010-03-02,0,Evento
aprovacao_parecer,2009-11-25,2009-11-25,0,Evento
aprovacao_substitutivo,2016-06-07,2016-06-07,0,Evento
incluída_em_ordem_do_dia,2016-06-07,2016-06-07,0,Evento
incluída_na_pauta_da_reunião,2009-11-23,2009-11-23,0,Evento
incluído_requerimento_em_ordem_do_dia_da_sessão_deliberativa,2013-04-01,2013-04-01,0,Evento
matéria_com_a_relatoria,2009-07-15,2009-07-15,0,Evento
pedido_de_vista_concedido,2016-03-08,2016-03-08,0,Evento
pronta_para_a_pauta_na_comissão,2009-11-13,2009-11-13,0,Evento
pronto_para_deliberação_do_plenário,2016-05-18,2016-05-18,0,Evento
remetida_à_câmara_dos_deputados,2016-06-21,2016-06-21,0,Evento
