descricaoTipo,codTipo,n
130,NA,1
147,NA,1
260,NA,1
Ana Caroline Campagnolo - professora - SC,NA,1
Ata,810,1
Autógrafo,506,2
Binho Marques - Consultor em Educação e Carlos Abicalil - Professor de Educação Básica.,NA,1
Bráulio Matos - professor da UnB,NA,1
Complementação de Voto,195,14
Confederação Nacional dos Trabalhadores em Educação-CNTE,NA,1
Diego Casagrande - jornalista - RS,NA,1
e de Procurador do Ministério Público do Trabalho.,NA,1
Emenda Adotada pela Comissão,702,5
Emenda Aglutinativa de Plenário,608,5
Emenda ao Substitutivo,258,159
Emenda de Plenário,131,193
Emenda de Redação,450,2
Emenda de Relator,257,101
Emenda na Comissão,130,1574
Emenda/Substitutivo do Senado,132,1
Medida Provisória,291,3
Mensagem,134,11
Mensagem de Cancelamento de Urgência,404,1
Mensagem de Solicitação de urgência,406,1
Padre José Eduardo,NA,1
Parecer às emendas apresentadas ao Substitutivo do Relator,196,4
Parecer às Emendas de Plenário,442,10
Parecer às Emendas ou ao Substitutivo do Senado,443,2
Parecer de Comissão,187,48
Parecer de Comissão para Redação Final,669,1
Parecer do Relator,190,141
Parecer Proferido em Plenário,192,5
Parecer Reformulado,193,5
Parecer Reformulado de Plenário,451,2
Parecer Vencedor,191,2
Pedro Sérgio dos Santos - Diretor da Faculdade de Direito da UFG - GO,NA,1
Projeto de Lei,139,542
Projeto de Lei Complementar,140,27
Projeto de Lei de Conversão,390,3
Proposta de Emenda à Constituição,136,26
Reclamação,145,3
Recurso,144,1
"Recurso contra apensação/desapensação de proposição (Art. 142, I, RICD)",379,2
"Recurso contra apreciação conclusiva de comissão (Art. 58, § 1º c/c art. 132, § 2º, RICD)",373,2
"Recurso contra decisão de Presidente de Comissão em Questão de Ordem (Art. 57, XXI c/c art. 17, III, f, RICD)",383,3
"Recurso contra declaração de prejudicialidade. (Art. 164, § 2º, RICD)",381,2
"Recurso contra devolução de proposição (Art. 137, § 2º, RICD)",376,3
Redação Final,197,7
Representação da União Nacional dos Dirigentes Municipais de Educação -Undime,NA,1
Requerimento,147,420
Requerimento de Apensação,304,48
Requerimento de Audiência Pública,294,384
Requerimento de Constituição de Comissão Especial de PEC,359,7
Requerimento de Constituição de Comissão Especial de Projeto,521,5
Requerimento de Convocação de Ministro de Estado na Comissão,523,1
Requerimento de Desapensação,305,34
Requerimento de Desarquivamento de Proposições,363,84
Requerimento de Envio de proposições pendentes de parecer à Comissão seguinte ou ao Plenário,314,2
Requerimento de Inclusão de Matéria Extra-Pauta na Ordem do Dia das Comissões,688,4
Requerimento de Inclusão na Ordem do Dia,318,31
Requerimento de Informação,148,7
Requerimento de Participação ou Realização de Eventos fora da Câmara,686,14
Requerimento de Prorrogação de prazo de Comissão Temporária,348,64
Requerimento de Reconstituição de proposição,339,3
Requerimento de Redistribuição,308,28
Requerimento de Retirada de assinatura em proposição de iniciativa coletiva,310,1
Requerimento de Retirada de assinatura em proposição que não seja de iniciativa coletiva,313,3
Requerimento de Retirada de proposição,319,1
Requerimento de Retirada de Proposição de Iniciativa Coletiva,312,2
Requerimento de Retirada de proposição de iniciativa individual,311,4
Requerimento de Transformação de Sessão Plenaria em Comissão Geral,343,1
Requerimento de Urgência (Art. 154 do RICD),391,3
Requerimento de Urgência (Art. 155 do RICD),392,12
Roberto Geraldo de Paiva Dornas - CONFENEM,NA,1
Subemenda de Relator,709,3
Subemenda Substitutiva de Plenário,509,5
Substitutivo,255,83
Substitutivo adotado pela Comissão,701,18
Voto em Separado,260,85
NA,NA,71
